,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
167,1135 E SOUTH BOULDER RD,LOUISVILLE,80027,39.987296,-105.129186,1135,E South Boulder Rd,Boulder County,US,3862.0,"(39.987296, -105.129186)"
168,501 RAILROAD ST,GILCREST,80623,40.28102,-104.77922099999999,501,Railroad St,Weld County,US,1377.0,"(40.28102, -104.77922099999999)"
169,6079 QUEBEC ST,COMMERCE CITY,80022,39.807173999999996,-104.904051,6079,Quebec St,Adams County,US,2643.0,"(39.807173999999996, -104.904051)"
170,4000 E 100TH AVE,THORNTON,80229,39.876951,-104.939751,4000,E 100th Ave,Adams County,US,3092.0,"(39.876951, -104.939751)"
171,17881 W COLFAX AVE,GOLDEN,80401,39.720464,-105.201507,17881,W Colfax Ave,Jefferson County,US,1036.0,"(39.720464, -105.201507)"
172,1805 S FOOTHILLS HIGHWAY,BOULDER,80303,39.953841,-105.23279199999999,1805,S Foothills Hwy,Boulder County,US,902.0,"(39.953841, -105.23279199999999)"
173,19001 HWY 82,CARBONDALE,81623,39.394420000000004,-107.090455,19001,Hwy 82,Eagle County,US,2041.0,"(39.394420000000004, -107.090455)"
174,201 ELM ST,STERLING,80751,40.629181,-103.203455,201,Elm St,Logan County,US,1335.0,"(40.629181, -103.203455)"
175,906 PETERSON RD,COLORADO SPRINGS,80915,38.845357,-104.701061,906,Peterson Rd,El Paso County,US,1713.0,"(38.845357, -104.701061)"
176,2651 E 120TH AVE,THORNTON,80233,39.914091,-104.95823600000001,2651,E 120th Ave,Adams County,US,3270.0,"(39.914091, -104.95823600000001)"
177,701 N UNION BLVD,COLORADO SPRINGS,80909,38.842575,-104.793914,701,N Union Blvd,El Paso County,US,947.0,"(38.842575, -104.793914)"
178,6504 E ALAMEDA AVENUE,DENVER,80224,39.710941,-104.912508,6504,E Alameda Ave,Denver County,US,813.0,"(39.710941, -104.912508)"
179,7960 NIWOT RD #A1,LONGMONT,80503,40.101479,-105.16681299999999,7960,Niwot Rd,Boulder County,US,2740.0,"(40.101479, -105.16681299999999)"
