Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,7-ELEVEN #32923A,16981 E LINCOLN AVE,PARKER,80134,27,"$11,040"
Pick 3,7-ELEVEN #32990A,3522 N ELIZABETH ST,PUEBLO,81008,4,"$1,660"
Pick 3,7-ELEVEN #33038C,18451 E ALAMEDA PKWY,AURORA,80017,47,"$20,860"
Pick 3,7-ELEVEN #33040J,8380 S COLORADO BLVD,HIGHLANDS RANCH,80126,8,"$3,160"
Pick 3,7-ELEVEN #33042B,8750 S YOSEMITE ST,LONETREE,80124,46,"$19,730"
Pick 3,7-ELEVEN #33043A,7725 FOUNTAIN MESA RD,FOUNTAIN,80817,90,"$34,360"
Pick 3,7-ELEVEN #33044A,14250 E ILIFF AVE,AURORA,80014,42,"$13,410"
Pick 3,7-ELEVEN #33052B,1595 W 47TH AVE,DENVER,80211,11,"$4,200"
Pick 3,7-ELEVEN #33322B,5590 POWERS CENTER POINT,COLORADO SPRINGS,80920,45,"$16,750"
Pick 3,7-ELEVEN #33481B,399 N WASHINGTON AVE,GOLDEN,80403,15,"$6,610"
Pick 3,7-ELEVEN #33630A,820 16TH ST STE 100,DENVER,80202,25,"$11,470"
Pick 3,7-ELEVEN #33710H,6040 BARNES ROAD,COLORADO SPRINGS,80922,42,"$16,600"
Pick 3,7-ELEVEN #34012A,5241 W 72ND AVE,ARVADA,80003,78,"$25,620"
Pick 3,7-ELEVEN #34035A,19832 E HILLTOP ROAD,PARKER,80134,18,"$7,370"
Pick 3,7-ELEVEN #34036A,6990 CHURCH RANCH BLVD,WESTMINSTER,80021,15,"$6,710"
Pick 3,7-ELEVEN #34057A,11802 E OSWEGO ST,ENGLEWOOD,80112,7,"$2,660"
Pick 3,7-ELEVEN #34058A,2434 BRIARGATE PKWY,COLORADO SPRINGS,80920,15,"$5,520"
Pick 3,7-ELEVEN #34087A,15610 E 104TH AVE,COMMERCE CITY,80022,15,"$6,570"
Pick 3,7-ELEVEN #34131A,19390 E QUINCY AVE,AURORA,80015,48,"$20,600"
Pick 3,7-ELEVEN #34159,12285 S PARKER RD,PARKER,80134,5,"$1,870"
Pick 3,7-ELEVEN #34168B,3240 VILLAGE VISTA DR,ERIE,80516,15,"$6,890"
Pick 3,7-ELEVEN #34179B,4709 TOWER RD,DENVER,80249,134,"$55,810"
Pick 3,7-ELEVEN #34181B,21405 E QUINCY AVE,AURORA,80015,33,"$13,900"
Pick 3,7-ELEVEN #34209B,008 NOTTINGHAM ROAD,AVON,81620,4,"$2,040"
Pick 3,7-ELEVEN #34210C,11099 E I25 FRONTAGE RD,LONGMONT,80504,10,"$3,190"
Pick 3,7-ELEVEN #34238H,50 TELEP AVE,JOHNSTOWN,80534,4,"$2,500"
Pick 3,7-ELEVEN #34316A,6150 E US HWY 34,JOHNSTOWN,80534,4,"$1,480"
Pick 3,7-ELEVEN #34330B,3810 N FEDERAL BLVD,DENVER,80211,9,"$3,040"
Pick 3,7-ELEVEN #34333A,3995 N LEWISTON ST #106,AURORA,80011,38,"$13,380"
Pick 3,7-ELEVEN #34342B,1975 E COLFAX AVE,DENVER,80206,6,"$1,900"
Pick 3,7-ELEVEN #34357A,621 17TH STREET #100,DENVER,80293,30,"$13,920"
Pick 3,7-ELEVEN #34374A,2341 E COLFAX AVE,DENVER,80206,16,"$4,700"
Pick 3,7-ELEVEN #34441A,13697 E ILIFF AVE #1,AURORA,80014,41,"$13,350"
Pick 3,7-ELEVEN #34442A,1726 CHAMPA ST,DENVER,80202,12,"$4,230"
Pick 3,7-ELEVEN #34486B,3099 W MINERAL AVE,LITTLETON,80120,28,"$12,660"
Pick 3,7-ELEVEN #34504B,7451 S GARTRELL RD,AURORA,80016,33,"$14,900"
Pick 3,7-ELEVEN #34505B,1107 S SHERIDAN BLVD,LAKEWOOD,80232,19,"$7,010"
Pick 3,7-ELEVEN #34526A,1800 LAWRENCE STREET,DENVER,80202,48,"$16,640"
Pick 3,7-ELEVEN #34534A,6201 E 14TH AVE,DENVER,80220,45,"$20,110"
Pick 3,7-ELEVEN #34570A,1755 BLAKE STREET,DENVER,80202,13,"$4,970"
Pick 3,7-ELEVEN #34675B,1910 S HAVANA ST #2,AURORA,80014,29,"$10,380"
Pick 3,7-ELEVEN #34683B,2201 S SHERIDAN BLVD,DENVER,80227,22,"$7,760"
Pick 3,7-ELEVEN #34705B,2100 S HOLLY STREET,DENVER,80222,8,"$2,660"
Pick 3,7-ELEVEN #34726A,2295 S CHAMBERS RD #O,AURORA,80014,17,"$10,640"
Pick 3,7-ELEVEN #34741A,7080 TOWER RD,DENVER,80249,44,"$15,070"
Pick 3,7-ELEVEN #34921A,2350 HANCOCK EXPRESSWAY,COLORADO SPRINGS,80910,37,"$14,330"
Pick 3,7-ELEVEN #34924A,2803 W 10TH STREET,GREELEY,80634,17,"$7,950"
Pick 3,7-ELEVEN #35001A,2802 E FOUNTAIN BLVD,COLORADO SPRINGS,80910,17,"$5,430"
Pick 3,7-ELEVEN #35040A,551 E COLFAX,DENVER,80203,14,"$5,260"
Pick 3,7-ELEVEN #35053A,3992 HAVANA STREET,DENVER,80239,17,"$6,590"
Pick 3,7-ELEVEN #35269A,6008 FREDERICK WAY,FREDERICK,80530,20,"$8,010"
Pick 3,7-ELEVEN #35336B,12802 LOWELL BLVD,BROOMFIELD,80020,7,"$3,110"
Pick 3,7-ELEVEN #35337A,2825 BRIARGATE BLVD,COLORADO SPRINGS,80920,37,"$14,900"
Pick 3,7-ELEVEN #35338A,330 S ACADEMY BLVD,COLORADO SPRINGS,80910,23,"$9,590"
Pick 3,7-ELEVEN #35345B,2250 MOUNTAINVIEW AVENUE,LONGMONT,80501,52,"$21,550"
